band_id,wavelength_nm,bandwidth_nm
2,400,10
3,410,10
4,420,10
5,429,10
6,439,10
7,449,10
8,459,10
9,469,10
10,479,10
11,488,10
12,498,10
13,508,10
14,518,10
15,528,10
16,538,10
17,548,10
18,557,10
19,567,10
20,577,10
21,587,10
22,597,10
23,607,10
24,617,10
25,627,10
26,637,10
27,647,10
28,657,10
29,667,10
30,677,10
31,687,10
32,697,10
33,706,10
34,687,9
35,697,9
36,706,9
37,716,9
38,725,9
39,735,9
40,745,9
41,754,9
42,764,9
43,774,9
44,783,9
45,793,9
46,803,9
47,812,9
48,822,9
49,831,9
50,841,9
51,851,9
52,860,9
53,870,9
54,880,9
55,889,9
56,899,9
57,908,9
58,918,9
59,928,9
60,937,9
61,947,9
62,956,9
63,966,9
64,976,9
65,985,9
66,995,9
67,1004,9
68,1014,9
69,1024,9
70,1033,9
71,1043,9
72,1052,9
73,1062,9
74,1072,9
75,1081,9
76,1091,9
77,1100,9
78,1110,9
79,1120,9
80,1129,9
81,1139,9
82,1148,9
83,1158,9
84,1168,9
85,1177,9
86,1187,9
87,1196,9
88,1206,9
89,1216,9
90,1225,9
91,1235,9
92,1244,9
93,1254,9
94,1263,9
95,1273,9
96,1283,9
97,1292,9
98,1273,9
99,1283,9
100,1293,9
101,1303,9
102,1313,9
103,1323,9
104,1333,9
105,1343,9
106,1353,9
107,1363,9
113,1422,9
114,1432,9
115,1442,9
116,1452,10
117,1462,10
118,1472,10
119,1482,10
120,1492,10
121,1502,10
122,1512,10
123,1522,10
124,1532,10
125,1542,10
126,1552,10
127,1561,10
128,1571,10
129,1581,10
130,1591,10
131,1601,10
132,1611,10
133,1621,10
134,1631,10
135,1641,10
136,1651,10
137,1661,10
138,1671,10
139,1680,10
140,1690,10
141,1700,10
142,1710,10
143,1720,10
144,1730,10
145,1740,10
146,1750,10
147,1760,10
148,1770,10
149,1780,10
150,1789,10
151,1799,10
152,1809,10
153,1819,10
168,1943,14
169,1953,14
170,1963,14
171,1973,14
172,1983,14
173,1993,14
174,2003,14
175,2013,14
176,2023,14
177,2033,14
178,2043,14
179,2053,14
180,2063,14
181,2073,14
182,2083,14
183,2093,14
184,2103,14
185,2113,14
186,2123,14
187,2133,14
188,2143,14
189,2153,14
190,2163,14
191,2173,14
192,2182,14
193,2192,14
194,2202,14
195,2260,15
196,2270,15
197,2232,15
198,2242,15
199,2252,15
200,2262,15
201,2272,15
202,2282,15
203,2292,15
204,2301,15
205,2311,15
206,2321,15
207,2331,15
208,2341,15
209,2351,15
210,2361,15
211,2371,15
212,2381,15
213,2390,15
214,2400,15
215,2410,15
216,2420,15
217,2430,15
218,2440,15
219,2450,15
220,2460,15
221,2469,15
222,2479,15
223,2489,15
224,2499,15
